1;ΛΟΓΙΚΗ;LOGIC
2;ΜΑΘΗΜΑΤΙΚΑ;MATHEMATICS
3;ΠΛΗΡΟΦΟΡΙΚΗ;COMPUTER SCIENCE
4;ΑΣΤΡΟΝΟΜΙΑ ΚΑΙ ΑΣΤΡΟΦΥΣΙΚΗ;ASTRONOMY AND ASTROPHYSICS
5;ΦΥΣΙΚΗ;PHYSICS
6;ΧΗΜΕΙΑ;CHEMISTRY
7;ΕΠΙΣΤΗΜΕΣ THΣ ΖΩΗΣ               ;LIFE SCIENCES
8;ΕΠΙΣΤΗΜΕΣ ΤΗΣ ΓΗΣ ΚΑΙ TOY ΔΙΑΣΤΗΜΑΤΟΣ;EARTH AND SPACE SCIENCES
9;ΓΕΩΠΟΝΙΚΕΣ ΕΠΙΣΤΗΜΕΣ;AGRICULTURAL SCIENCES
10;ΙΑΤΡΙΚΕΣ ΕΠΙΣΤΗΜΕΣ;MEDICAL SCIENCES
11;ΤΕΧΝΟΛΟΓΙΑ KAI ΕΠΙΣΤΗΜΕΣ ΜΗΧΑΝΙΚΩΝ      ;TECHNOLOGICAL SCIENCES AND ENGINEERING
12;ΑΝΘΡΩΠΟΛΟΓΙΑ (ΜΗ ΦΥΣΙΚΗ) ;ANTHROPOLOGY (NON PHYSICAL)
13;ΔΗΜΟΓΡΑΦΙΑ;DEMOGRAPHY
14;ΟΙΚΟΝΟΜΙΚΕΣ ΕΠΙΣΤΗΜΕΣ;ECONOMIC SCIENCES
15;ΙΣΤΟΡΙΑ ;HISTORY
16;ΝΟΜΙΚΕΣ ΕΠΙΣΤΗΜΕΣ;LEGAL SCIENCES
17;ΓΛΩΣΣΟΛΟΓΙΑ;LINGUISTICS
18;ΠΑΙΔΑΓΩΓΙΚΗ;PEDAGOGY
19;ΠΟΛΙΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ;POLITICAL SCIENCES
20;ΨΥΧΟΛΟΓΙΑ;PSYCHOLOGY
21;ΕΠΙΣΤΗΜΕΣ ΤΕΧΝΩΝ ΚΑΙ ΓΡΑΜΜΑΤΩΝ ;SCIENCES OF ARTS AND LETTERS
